koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
ZA1,Paprika sladka zaüimba,,2.37,0.47,68.7,0,17.9,0,
ZA2,Paprika pekoüa zaüimba,,2.37,0.47,68.7,0,17.9,0,
DO1,WILDROHWURST,,3.1,0.3,67.1,64.4,8.2,0,
DO2,HUHNERPASTETE,,0.9,0.27,41,40.3,32.9,0,
DO3,ISOKONTRIKT 5590,,1.5,0.12,79.4,79.4,7.1,0,
DO4,FRANFURTER KOMBI,,1.8,0.17,39.2,39.2,9.8,39.48,
DO5,WURTZOMAT 5200,,2.3,1.14,33.2,32.5,27.2,0,
DO6,TATARSKI BIFTEK,,4.9,0.85,33.2,29.1,9.3,23.64,
DO7,BRUDAUERWURST KRAKAUER,,10.8,0.63,47.1,39.6,22.5,0,
DO8,RCS7 PLUS OA,,1.4,0.12,34.8,34.2,7.2,43.39,
ZE62,SOJINO ZRNO,,17.7,2.4,34,0,34,0,
ZE63,KE¨AP,,0.5,0.1,25,22,1.5,0,
ZE64,PARADI¶NIKOV PIRE,,0.1,0,10.2,0,1.7,0,
ZE65,"¨EBULA, BELA",,0.5,0,30,0,6.4,0,
ZE66,DROBNJAK,,0.6,0.1,3.8,0,2.8,0,
ZE67,LE¨A,,1,0.2,60,0,24,0,
GO1,TARTUF,,0.51,0.1,0,0,5.53,0,
GO2,LISI¨KA,,0.24,0.1,3,0,1.5,0,
GO3,ÊAMPINJON,,0.24,0,0.68,0,2.74,0,
ZE68,HREN,,0.3,0,12.35,8.25,2.8,0,
ZE69,"PETERÊILJ, LIST",,0.36,0,1.31,0.85,4.43,0,
ZE70,"PETERÊILJ, KOREN",,0.47,0,5.44,5.44,2.88,0,
ZE71,"PETERÊILJ, SUH",,4.43,0.64,51.7,16,22.4,0,
ZE72,"ZELENA, CELA",,0.33,0,2.25,1.81,1.55,0,
ZE73,"ZELENA, LIST, SUH",,2.15,0,65,0,11.8,0,
SA35,AVOKADO,,23.5,4.2,0.4,0.4,1.9,0,
SA36,BANANA,,0.18,0.06,21.39,16.8,1.15,0,
SA37,DATELJ,,0.53,0,66.32,64,1.85,0,
ME92,MESNATA SLANINA,,38.5,16.5,0,0,12.6,0,
